,EffectiveDate,WorkDate,QuoteQueryId,QuoteDriverId1,QuoteDriverId2,PolicyInceptionDate,ProposerYearsAtHomeAddress,AddressLine4,NCDClaimedYearsEarned,NCDDrivingExperienceYears,VehicleCode,VehicleValue,VehicleAnnualMileage,VehicleDateManufactured,VehicleImported,VehicleEngineCapacity,VehicleFuelType,VehicleSeats,VehicleDoors,VehicleOvernightLocation,VehicleBodyType,CarsInHouseHold,EmploymentStatus,LicenceType,LicenceCountry,ClaimsIndicator,VoluntaryExcess,Driver1RelationshipToProposer,Driver1Age,Driver1VehicleDrivingFrequency,Driver2RelationshipToProposer,Driver2Age,Driver2LicenceType,Driver2LicenceCountry,Driver2LicenceDate,Driver2EmploymentStatus,Driver2VehicleDrivingFrequency,Driver2ClaimsIndicator,Insurer_1GrossPremCompStepAnnual,Insurer_1NetPremCompStepAnnual,Insurer_1FeePremCompStepAnnual,Insurer_1CommissionCompStepAnnual,Insurer_1DiscountCompStep,Insurer_1IncomeIfSold,Insurer_1CustomerPrice,Insurer_2GrossPremCompStepAnnual,Insurer_2NetPremCompStepAnnual,Insurer_2FeePremCompStepAnnual,Insurer_2CommissionCompStepAnnual,Insurer_2DiscountCompStep,Insurer_2IncomeIfSold,Insurer_2CustomerPrice,Insurer_3GrossPremCompStepAnnual,Insurer_3NetPremCompStepAnnual,Insurer_3FeePremCompStepAnnual,Insurer_3CommissionCompStepAnnual,Insurer_3DiscountCompStep,Insurer_3IncomeIfSold,Insurer_3CustomerPrice,Insurer_4GrossPremCompStepAnnual,Insurer_4NetPremCompStepAnnual,Insurer_4FeePremCompStepAnnual,Insurer_4CommissionCompStepAnnual,Insurer_4DiscountCompStep,Insurer_4IncomeIfSold,Insurer_4CustomerPrice,SaleFlag,IsDirectDebit,SaleCoverType,HomeOwner,PricingModel,MarketPricePrediction
15,11/30/23,11/11/23,56351972,72268989,72268990,11/20/23 0:00,0,Meath,0,0,95058528,"€14,000.00",23000,1/1/17 0:00,0,999,,5,,Kept On Private Property,5,,Employed,Full Irish,IE,0,0,Proposer,21,Main,Relative,56,Full Irish,IE,11/11/03 0:00,Employed,Frequent,0,2200.53,1886.17,0,209.57,-47.86,161.71,2152.67,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€1,598.36"
16,11/30/23,11/12/23,56377146,72302752,72302753,11/13/23 0:00,0,Dublin,6,0,40035524,"€61,000.00",4000,1/1/17 0:00,0,2995,P,5,5,Parked On Drive,4,,Employed,Full Irish,IE,0,0,Proposer,48,Main,,43,Full Irish,IE,11/12/17 0:00,Employed,Frequent,0,,,,,,,,,,,,,,,977.36,839.65,35,93.3,0,128.3,1012.36,,,,,,,,No Sale,0,"Third party, fire, theft",N,Other,€592.91
17,11/30/23,11/11/23,56339515,72250976,,11/12/23 0:00,0,Galway,0,0,17531201,€900.00,6000,1/1/08 0:00,0,1388,P,5,3,Kept On Private Property,5,,Employed,Provisional Irish,IE,0,0,Proposer,19,Main,,,,,,,,,,,,,,,,3346.26,2845.89,0,281.46,-1.37,280.09,3344.89,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Low,"€2,173.65"
18,11/30/23,11/11/23,56353023,72270507,,11/26/23 0:00,0,Wexford,0,0,95010916,"€3,750.00",6000,1/1/06 0:00,0,1595,P,5,5,Kept On Public Road,5,,Employed,Learner Permit,IE,0,0,Proposer,23,Main,,,,,,,,,,,,,,,,1785.27,1518.33,0,150.16,19.28,169.44,1804.55,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Low,"€1,605.75"
19,11/30/23,11/12/23,56379369,72305789,,11/13/23 0:00,0,Kildare,4,0,41684834,"€16,000.00",6000,1/1/18 0:00,0,1461,,5,5,Parked On Drive,5,,Employed,Full Irish,IE,0,0,Proposer,34,Main,,,,,,,,,1267.13,1086.11,0,120.68,152.06,272.74,1419.19,,,,,,,,,,,,,,,,,,,,,,Insurer_20,1,Comprehensive,N,Challenger,€618.49
21,11/30/23,11/12/23,56385999,72314695,,12/1/23 0:00,0,Louth,0,1,22520801,"€5,000.00",5000,1/1/11 0:00,0,1248,,5,5,Parked On Drive,5,,Employed,Full Irish,IE,0,0,Proposer,26,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€1,134.80"
22,11/30/23,11/11/23,56357494,72276426,,11/26/23 0:00,0,Kerry,6,0,53603203,"€4,000.00",8000,1/1/10 0:00,0,1197,,5,5,Kept On Private Property,5,,Employed,Full Irish,IE,1,0,Proposer,28,Main,,,,,,,,,1235.93,1059.37,50,117.71,-74.16,93.55,1211.77,870.74,740.54,35,73.24,-52.25,55.99,853.49,968.43,831.99,35,92.44,-58.11,69.33,945.32,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€408.41
23,11/30/23,11/11/23,56353652,72271301,,12/9/23 0:00,0,Dublin,9,0,17553601,"€3,000.00",2000,1/1/09 0:00,0,1753,,5,5,Kept On Private Property,5,,Retired,Full Irish,IE,0,0,Proposer,78,Main,,,,,,,,,535.51,459.01,35,51,-21.42,64.58,549.09,801.27,681.45,35,67.4,0,102.4,836.27,694.79,596.9,35,66.32,0,101.32,729.79,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€423.40
24,11/30/23,11/11/23,56335762,72245678,72245679,11/21/23 0:00,0,Dublin,9,0,28811471,"€30,000.00",5000,1/1/17 0:00,0,2494,,5,4,Parked On Drive,9,,Employed,Full Irish,IE,0,0,Proposer,61,Infrequent (Casual),,66,Full Irish,IE,11/11/03 0:00,Employed,Frequent,0,386.33,331.14,10,36.79,9.53,56.32,405.86,716.86,609.66,35,60.3,17.68,112.98,769.54,611.6,525.43,35,58.38,15.08,108.46,661.68,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€344.65
25,11/30/23,11/11/23,56342927,72256062,,11/11/23 0:00,0,Cork,0,2,39084102,"€4,000.00",3000,1/1/10 0:00,0,1560,,5,5,Garaged,5,,Employed,Provisional Irish,IE,0,0,Proposer,22,Frequent,,,,,,,,,5286.65,4531.41,0,503.49,360.02,863.51,5646.67,1539.12,1308.97,0,129.46,184.69,314.15,1723.81,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Challenger,"€1,941.47"
26,11/30/23,11/12/23,56362986,72283446,72283447,11/13/23 0:00,0,Kerry,0,1,95053433,"€6,700.00",7000,1/1/13 0:00,0,1397,,5,5,Kept On Public Road,5,,Employed,Provisional Irish,IE,0,0,Proposer,19,,Relative,50,Full Irish,IE,11/11/03 0:00,Self Employed,Frequent,0,,,,,,,,3733.61,3175.31,0,314.04,360,674.04,4093.61,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Challenger,"€2,061.76"
27,11/30/23,11/11/23,56360395,72280017,,12/10/23 0:00,0,Cavan,9,0,22502401,"€1,000.00",6000,1/1/05 0:00,0,1599,,5,2,Kept On Private Property,3,,Employed,Full Irish,IE,0,0,Proposer,40,Main,,,,,,,,,1276.88,1094.47,0,121.61,43.64,165.25,1320.52,1254.53,1066.94,0,105.52,42.87,148.39,1297.4,572.23,491.61,0,54.62,19.56,74.18,591.79,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,€581.20
28,11/30/23,11/12/23,56383624,72311584,72311585,12/11/23 0:00,0,Cork,9,0,95010619,"€9,500.00",5000,1/1/07 0:00,0,1598,P,5,4,Parked On Drive,9,,Employed,Full Irish,IE,0,0,Proposer,30,Main,Relative,66,Full Irish,IE,11/12/03 0:00,Retired,Frequent,0,,,,,,,,1096.45,932.5,50,92.22,-54.81,87.41,1091.64,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€430.54
29,11/30/23,11/12/23,56383993,72312102,,11/15/23 0:00,0,Louth,5,0,95055027,"€9,500.00",10000,1/1/15 0:00,0,1997,D,5,5,Parked On Drive,5,,Employed,Full Irish,IE,0,0,Proposer,49,Main,,,,,,,,,1125.68,964.87,50,107.21,-56.29,100.92,1119.39,1088.3,925.56,50,91.54,-54.42,87.12,1083.88,935.67,803.84,35,89.32,-46.79,77.53,923.88,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€575.52
30,11/30/23,11/12/23,56381217,72308294,,11/13/23 0:00,0,Offaly,1,0,53561401,"€3,000.00",25000,1/1/08 0:00,0,1968,D,5,4,Parked On Drive,9,,Employed,Full Irish,IE,0,0,Proposer,27,Main,,,,,,,,,1672.28,1433.39,0,159.26,18.06,177.32,1690.34,2400.53,2041.58,0,201.91,25.93,227.84,2426.46,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Low,€778.93
31,11/30/23,11/11/23,56350612,72267184,72267185,11/20/23 0:00,0,Limerick,9,0,95056163,"€15,000.00",6000,1/1/15 0:00,0,1968,D,5,5,Parked On Drive,5,,Employed,Full Irish,IE,0,0,Proposer,41,Main,,41,Full Irish,IE,11/11/03 0:00,Self Employed,Frequent,0,740.22,634.47,35,70.5,-37.01,68.49,738.21,1360.93,1157.43,50,114.47,-68.04,96.43,1342.89,663.52,570.03,35,63.34,-33.17,65.17,665.35,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€551.43
32,11/30/23,11/11/23,56352637,72269939,72269940,12/11/23 0:00,0,Meath,9,0,52119501,"€4,000.00",7000,1/1/12 0:00,0,1686,D,5,5,Kept On Private Property,5,,Employed,Full Irish,IE,0,0,Proposer,60,Main,,61,Full Irish,IE,11/11/03 0:00,Retired,Frequent,0,1049.24,899.35,50,99.93,-52.46,97.47,1046.78,,,,,,,,908.38,780.4,35,86.71,-45.42,76.29,897.96,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€538.28
34,11/30/23,11/11/23,56343754,72257470,72257471,12/11/23 0:00,0,Dublin,9,0,95052932,"€9,500.00",5000,1/1/14 0:00,0,1560,D,5,4,Parked On Drive,9,,Employed,Full Irish,IE,0,0,Proposer,51,Main,,50,Full Irish,IE,11/11/13 0:00,Household Duties,Frequent,0,476.5,408.43,10,45.38,0,55.38,486.5,1017.89,865.68,50,85.62,0,135.62,1067.89,680.37,584.51,35,64.95,0,99.95,715.37,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€359.30
35,11/30/23,11/11/23,56353533,72271119,72271120,11/15/23 0:00,0,Cavan,9,0,41684727,"€12,000.00",8000,1/1/16 0:00,0,1461,D,5,5,Kept On Private Property,5,,Retired,Full Irish,IE,0,0,Proposer,77,Main,,78,Full Irish,IE,11/11/03 0:00,Retired,Frequent,0,612.92,525.36,35,58.37,-30.65,62.72,617.27,865.68,736.24,35,72.81,-43.28,64.53,857.4,765.46,657.61,35,73.07,-38.27,69.8,762.19,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€466.14
36,11/30/23,11/11/23,56352737,72270080,,11/12/23 0:00,0,Westmeath,0,0,53539002,"€2,000.00",3000,1/1/07 0:00,0,1198,P,5,5,Kept On Private Property,5,,Employed,Provisional Irish,IE,0,0,Proposer,37,Main,,,,,,,,,3479.39,2982.33,80,331.37,0,411.37,3559.39,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,"€1,273.68"
37,11/30/23,11/12/23,56364047,72285121,72285122,12/12/23 0:00,0,Kildare,1,0,53613301,"€5,000.00",2000,1/1/11 0:00,0,1598,D,5,4,Kept On Private Property,9,,Employed,Full Irish,IE,0,0,Proposer,18,Main,Relative,44,Full EU,PL,11/12/03 0:00,Employed,Frequent,0,2945.24,2524.49,0,280.5,188.5,469,3133.74,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€1,465.48"
38,11/30/23,11/12/23,56373763,72298056,,11/13/23 0:00,0,Dublin,3,0,95054472,"€8,250.00",5000,1/1/14 0:00,0,2191,D,5,4,Kept On Private Property,9,,Employed,Provisional Irish,IE,0,0,Proposer,32,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Champion,€694.62
39,11/30/23,11/11/23,56348645,72264393,72264394,12/1/23 0:00,0,Westmeath,9,0,53628939,"€15,000.00",8000,1/1/17 0:00,0,999,P,5,5,Kept On Private Property,5,,Employed,Full Irish,IE,0,0,Proposer,33,Main,Partner,35,Full Irish,IE,11/1/08 0:00,Employed,Frequent,0,346.5,297,0,33,-21.91,11.09,324.59,506.17,430.48,0,42.58,-32,10.58,474.17,501.78,431.08,0,47.9,-31.73,16.17,470.05,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,€348.29
40,11/30/23,11/11/23,56354892,72272945,,11/12/23 0:00,0,Kildare,0,0,18503350,"€8,950.00",17000,1/1/14 0:00,0,999,P,5,3,Parked On Drive,5,,Employed,Provisional Irish,IE,0,0,Proposer,21,Main,,,,,,,,,,,,,,,,2610.61,2220.25,0,219.58,84.87,304.45,2695.48,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€2,090.80"
41,11/30/23,11/11/23,56341000,72253197,72253198,11/13/23 0:00,0,Dublin,0,2,35532803,"€3,000.00",6000,1/1/08 0:00,0,1240,P,5,5,Kept On Private Property,5,,Employed,Full EU,IT,0,0,Proposer,28,Main,Friend,48,Full Irish,IE,11/11/14 0:00,Self Employed,Frequent,0,1343.13,1151.25,0,127.92,147.23,275.15,1490.36,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Challenger,€879.07
42,11/30/23,11/12/23,56387370,72316638,,11/13/23 0:00,0,Clare,8,0,50019301,"€4,000.00",5000,1/1/08 0:00,0,1998,P,5,5,Parked On Drive,4,,Employed,Full Irish,IE,0,0,Proposer,62,Infrequent (Casual),,,,,,,,,,,,,,,,1127.64,959.02,50,94.85,-56.39,88.46,1121.25,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€380.67
43,11/30/23,11/11/23,56356398,72274920,72274921,11/12/23 0:00,0,Kerry,0,2,18504785,"€30,000.00",5000,1/1/22 0:00,0,999,,5,,Parked On Drive,4,,Household Duties,Provisional Irish,IE,0,0,Proposer,31,Main,,32,Full Irish,IE,11/11/16 0:00,Employed,Frequent,0,1823.13,1562.68,0,173.63,192.21,365.84,2015.34,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Challenger,"€1,030.39"
45,11/30/23,11/11/23,56358985,72278303,,12/1/23 0:00,0,Meath,9,0,95051411,"€9,500.00",5000,1/1/11 0:00,0,2143,D,5,2,Kept On Private Property,3,,Employed,Full Irish,IE,0,0,Proposer,51,Main,,,,,,,,,920.4,788.91,35,87.66,-92.03,30.63,863.37,1389.97,1182.13,50,116.91,-138.98,27.93,1300.99,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€415.39
46,11/30/23,11/12/23,56387224,72316462,,11/20/23 0:00,0,Cork,0,3,50077788,"€30,000.00",20000,1/1/19 0:00,0,1798,,5,,Kept On Private Property,5,,Employed,Full Irish,IE,0,0,Proposer,34,Main,,,,,,,,,1637.99,1403.99,0,156,71.17,227.17,1709.16,1212.78,1031.43,0,102.01,52.7,154.71,1265.48,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€1,042.77"
47,11/30/23,11/12/23,56367416,72289454,,11/28/23 0:00,0,Meath,0,1,7081201,"€4,000.00",4000,1/1/08 0:00,0,1995,D,5,4,Kept On Private Property,9,,Employed,Full Irish,IE,0,0,Proposer,25,Main,,,,,,,,,4792.23,4107.63,0,456.4,158.72,615.12,4950.95,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€1,208.34"
48,11/30/23,11/11/23,56345514,72259984,,12/6/23 0:00,0,Clare,9,0,21058033,"€8,000.00",3000,1/1/13 0:00,0,1339,,5,,Kept On Private Property,5,,Employed,Full Irish,IE,0,0,Proposer,37,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Challenger,€593.21
49,11/30/23,11/11/23,56359731,72279211,,12/7/23 0:00,0,Dublin,5,0,95055955,"€15,000.00",9000,1/1/17 0:00,0,1997,D,5,5,Parked On Drive,5,,Employed,Full Irish,IE,0,0,Proposer,43,Main,,,,,,,,,813.28,697.09,0,77.46,-65.18,12.28,748.1,1003.57,853.51,0,84.41,-80.44,3.97,923.13,683.87,587.52,0,65.28,-54.81,10.47,629.06,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,€456.91
50,11/30/23,11/12/23,56385375,72313940,72313941,11/19/23 0:00,0,Mayo,9,0,95062294,"€27,000.00",14000,1/1/22 0:00,0,999,,5,,Kept On Private Property,5,,Retired,Full Irish,IE,0,0,Proposer,65,Main,Unrelated,29,Full Irish,IE,10/20/23 0:00,Employed,Frequent,0,419.66,359.71,10,39.97,-20.99,28.98,408.67,567.27,482.45,35,47.71,-28.37,54.34,573.9,402.69,345.95,10,38.44,-20.14,28.3,392.55,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€329.54
51,11/30/23,11/11/23,56361854,72281936,72281937,11/13/23 0:00,0,Cork,5,0,95040525,"€2,000.00",10000,1/1/06 0:00,0,1360,P,5,5,Parked On Drive,5,,Employed,Full Irish,IE,0,0,Proposer,28,,Relative,52,Full Irish,IE,11/11/03 0:00,Employed,Frequent,0,,,,,,,,749.13,637.11,0,63.01,89.9,152.91,839.03,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Challenger,€616.55
52,11/30/23,11/12/23,56375912,72300995,72300996,11/27/23 0:00,0,Dublin,9,0,95051580,"€5,000.00",25000,1/1/10 0:00,0,1329,P,5,5,Parked On Drive,5,,Employed,Full EU,PL,0,0,Proposer,52,Main,,53,Full EU,PL,11/1/03 0:00,Employed,Frequent,0,585.48,501.84,0,55.76,-10.23,45.53,575.25,,,,,,,,963.49,827.74,0,91.97,-16.84,75.13,946.65,,,,,,,,No Sale,0,"Third party, fire, theft",N,Challenger,€449.65
53,11/30/23,11/12/23,56380739,72307699,,12/4/23 0:00,0,Dublin,1,0,95052039,"€5,000.00",10000,1/1/11 0:00,0,1242,P,5,5,Parked On Drive,5,,Unemployed,Full Irish,IE,0,0,Proposer,23,Main,,,,,,,,,1563.51,1340.15,80,148.91,-78.17,150.74,1565.34,1464.56,1245.57,80,123.19,-73.23,129.96,1471.33,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Other,€884.35
54,11/30/23,11/11/23,56341432,72253850,,11/13/23 0:00,0,Dublin,2,0,31531602,"€2,000.00",5000,1/1/09 0:00,0,1560,D,5,5,Kept On Private Property,5,,Employed,Full Irish,IE,0,0,Proposer,35,Main,,,,,,,,,1312.66,1125.13,50,125.02,-65.63,109.39,1297.03,1898.08,1614.26,80,159.65,-94.9,144.75,1883.18,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€701.70
